id,store_id,store_code,store_name,metadata,is_active,created_at,updated_at,display_start_day,display_end_day,display_duration_days,expected_order_receive_day,resolution,min_items_qty,share_group_id
c74ab4d0-e150-42cf-ac80-910bd2fca53e,b90e6bc5-8607-40cd-ac87-daf2f8386150,0527,Save A Lot 30024,"{""city"":""Largo"",""state"":""FL"",""address"":""100 Clearwater - Largo Rd N"",""zipcode"":""33770""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1920x1080,24,2
c860bed0-8cbc-433b-b3f5-a2cd689ce4a2,b90e6bc5-8607-40cd-ac87-daf2f8386150,0562,Save a Lot (21770),"{""city"":""Sanford"",""state"":""NC"",""address"":""1946 S. Horner St"",""zipcode"":""27330""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,12,4
ca39e87b-bcc8-4691-9887-3e25db20812a,b90e6bc5-8607-40cd-ac87-daf2f8386150,0436,Save a Lot (61325),"{""city"":""Milwaukee"",""state"":""WI"",""address"":""2322 W Oak St"",""zipcode"":""53206""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,14,Sunday,1080x1920,12,
d491c741-5587-4ebf-b17e-6f2909181dd7,b90e6bc5-8607-40cd-ac87-daf2f8386150,0532,Save A Lot 30030,"{""city"":""Tampa"",""state"":""FL"",""address"":""150 West Fletcher Ave"",""zipcode"":""33612""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,12,2
dc1b22e2-2b5e-4a13-a449-57bfa2a1283b,b90e6bc5-8607-40cd-ac87-daf2f8386150,0514,Save A Lot 30009,"{""city"":""St Petersburg"",""state"":""FL"",""address"":""701 9th St"",""zipcode"":""33701""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,2
dcfb806c-5a4c-4d00-8a3f-bd885dc0070f,b90e6bc5-8607-40cd-ac87-daf2f8386150,0565,Save a Lot (30095),"{""city"":""South Williamsport"",""state"":""PA"",""address"":""1215 W. Southern Avenue"",""zipcode"":""17702""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Thursday,Wednesday,7,Monday,1080x1920,18,
dd39284f-116f-4b5c-8468-111c39c84619,b90e6bc5-8607-40cd-ac87-daf2f8386150,0369,Save a Lot (60128),"{""city"":""Canton"",""state"":""OH"",""address"":""2928 Cleveland Ave S"",""zipcode"":""44707""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 09:06:45.793103+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,3
dd648b65-9d7e-4e77-b5a2-7a45661f9fce,b90e6bc5-8607-40cd-ac87-daf2f8386150,0228,Save a lot (60136),"{""city"":""Philadelphia"",""state"":""PA"",""address"":""400 W Allegheny Aveune"",""zipcode"":""19133""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Friday,Thursday,7,Tuesday,1080x1920,24,
de96fc52-3245-4e7a-9eea-01f5cafafcff,b90e6bc5-8607-40cd-ac87-daf2f8386150,0433,Save a Lot (61321),"{""city"":""Milwaukee"",""state"":""WI"",""address"":""4821 N 76th St"",""zipcode"":""53218""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,14,Sunday,1080x1920,12,
eab13be4-77a9-403e-be79-a95e6a0b6bd6,b90e6bc5-8607-40cd-ac87-daf2f8386150,0522,Save A Lot 30018,"{""city"":""Lakeland"",""state"":""FL"",""address"":""917 E Memorial Blvd"",""zipcode"":""33801""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,2
ee857b1c-6047-4a3d-872f-e95b0fcf27ff,b90e6bc5-8607-40cd-ac87-daf2f8386150,0245,Save a Lot (61256),"{""city"":""Bridgeport"",""state"":""CT"",""address"":""540 Pequonnock Street"",""zipcode"":""06604""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Friday,Thursday,7,Tuesday,1080x1920,24,
eed6e63b-1ce8-47ad-9395-741fea1575ac,b90e6bc5-8607-40cd-ac87-daf2f8386150,0512,Save A Lot 30007,"{""city"":""Holiday"",""state"":""FL"",""address"":""1824 US Highway 19"",""zipcode"":""34691""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,2
f0506cc9-334f-4a58-8719-e273bbc0a432,b90e6bc5-8607-40cd-ac87-daf2f8386150,0508,Save A Lot 30003,"{""city"":""Tampa"",""state"":""FL"",""address"":""305 West Hillsborough"",""zipcode"":""33604""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,2
f3aba15a-70d5-46a4-9334-9b05007c93ec,b90e6bc5-8607-40cd-ac87-daf2f8386150,0559,Save A Lot (23974),"{""city"":""Saginaw"",""state"":""MI"",""address"":""3355 E Holland Road"",""zipcode"":""48601""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Sunday,Saturday,7,Thursday,1080x1920,24,
f43cdfaf-5e15-4ea0-95db-7738d431269b,b90e6bc5-8607-40cd-ac87-daf2f8386150,0520,Save A Lot 30015,"{""city"":""Lake Wales"",""state"":""FL"",""address"":""630 State Rd 60 W"",""zipcode"":""33853""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,2
f6ece0d7-d797-4b90-85c9-a0effeed9ff6,b90e6bc5-8607-40cd-ac87-daf2f8386150,0230,Save a lot (60143),"{""city"":""Cheltenham Township"",""state"":""PA"",""address"":""101 W Cheltenham Avenue"",""zipcode"":""19012""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Friday,Thursday,7,Tuesday,1080x1920,24,
fadb945b-b71d-4a43-99e8-b0b804797a2c,b90e6bc5-8607-40cd-ac87-daf2f8386150,0561,Save a Lot (21769),"{""city"":""Greensboro"",""state"":""NC"",""address"":""3111 Yancyville St."",""zipcode"":""27405""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,12,4
ff439ce0-1ebe-4a2f-9868-b225a42f1da2,b90e6bc5-8607-40cd-ac87-daf2f8386150,0405,Save A Lot (45048),"{""city"":""Merrillville"",""state"":""IN"",""address"":""5420 S. Broadway"",""zipcode"":""46410""}",true,2025-11-25 09:04:36.903374+00,2025-12-18 07:57:45.179411+00,Wednesday,Tuesday,7,Sunday,1080x1920,24,1
